"id","name","term"
"0d4fd36e-25cc-4eaf-a067-659d7ba9c5c2","Accounts Payable","current"
"1516a041-ef87-4ac7-9745-c2f0fba1dd0d","Outstand Drafts/Checks","current"
"5b1d1a3f-fc92-42ea-a572-2fb6099cf286","Income Taxes Payable","current"
"8646b884-77f7-428c-bc55-70b8a9db8fef","Operating LOC","current"
"7146cef9-94f4-4594-86ec-75f05973a5f6","Credit Card Debt","current"
"cda765da-ac01-4152-b9f9-dc9ba1d428cf","Bank Interest Payable","current"
"9e45925e-2df2-4b24-98e0-b43d171f7c5e","Other Current Liabilities","current"
"d276dc54-e739-4798-84ab-f553f294a520","Term Loans","intermediate"
"d73c279a-68bb-418f-8d19-e2bcac0807f8","Real Estate Loans","long"
"59cec283-8c74-4630-894d-d8a28bd0aee7","Other Long Term Loans","long"
